Band Value,bedrock Count,ice_surface Count
-31,393211,"393,210.91"
-29,521510,"521,509.66"
-27,629159,"629,158.58"
-25,716507,"716,507.21"
-23,954175,"954,175.29"
-21,1193041,"1,193,041.44"
-19,1298575,"1,298,575.14"
-17,1689746,"1,689,746.48"
-15,3729649,"3,729,649.06"
-13,3106426,"3,106,426.44"
-11,2673590,"2,673,589.88"
-9,4034843,"4,034,843.24"
-7,2657990,"2,657,989.91"
-5,2584876,"2,584,876.30"
-3,2362179,"2,362,178.88"
-1,5503951,"5,503,950.53"
0.0 - 2.0,4106126,"4,106,125.96"
2.0 - 4.0,11435123,"11,435,123.35"
4.0 - 6.0,22511047,"22,511,046.75"
6.0 - 8.0,18240687,"18,240,686.87"
8.0 - 10.0,13077876,"13,077,876.08"
10.0 - 12.0,11713160,"11,713,160.36"
12.0 - 14.0,9213598,"9,213,597.86"
14.0 - 16.0,8320906,"8,320,906.07"
16.0 - 18.0,7817993,"7,817,993.18"
18.0 - 20.0,6406534,"6,406,534.17"
20.0 - 22.0,4277212,"4,277,212.02"
22.0 - 24.0,2105790,"2,105,790.14"
24.0 - 26.0,559437,"559,436.90"
26.0 - 28.0,94351,"94,350.63"
28.0 - 30.0,33570,"33,569.98"
30.0 - 32.0,15376,"15,376"
32.0 - 34.0,3782,"3,782"
