Band Value,bedrock Count,ice_surface Count
-2,11408,"11,408"
-2,,
-2,,
-2,,
-2,,
-2,,
-2,,
-2,,
-2,3844,"3,844"
-2,7626,"7,626"
-2,3844,"3,844"
-2,,
-2,,
-2,8600,"8,600.47"
-2,7835,"7,834.62"
-2,45156,"45,155.65"
-2,85447,"85,447.01"
-2,121716,"121,715.69"
-2,159101,"159,101.30"
-2,380068,"380,068.40"
-2,503522,"503,522.42"
-31,771155,"771,154.84"
-29,733793,"733,792.61"
-27,1093680,"1,093,679.86"
-25,1447759,"1,447,758.78"
-23,2025103,"2,025,103.10"
-21,1720518,"1,720,517.82"
-19,2984653,"2,984,652.96"
-17,3031513,"3,031,513.48"
-15,2382973,"2,382,972.88"
-13,2189592,"2,189,591.59"
-11,2110372,"2,110,372.37"
-9,2219245,"2,219,244.61"
-7,3512956,"3,512,955.66"
-5,4171051,"4,171,051.21"
-3,4243814,"4,243,813.66"
-1,10895561,"10,895,560.54"
0.0 - 2.0,16981200,"16,981,199.68"
2.0 - 4.0,7983213,"7,983,212.55"
4.0 - 6.0,5819388,"5,819,388.09"
6.0 - 8.0,5173971,"5,173,970.78"
8.0 - 10.0,4071024,"4,071,023.91"
10.0 - 12.0,2946166,"2,946,166.31"
12.0 - 14.0,2908661,"2,908,660.54"
14.0 - 16.0,3040889,"3,040,889.47"
16.0 - 18.0,2912943,"2,912,942.82"
18.0 - 20.0,2736850,"2,736,849.82"
20.0 - 22.0,2322250,"2,322,249.54"
22.0 - 24.0,1667550,"1,667,549.87"
24.0 - 26.0,1391399,"1,391,399.22"
26.0 - 28.0,1841796,"1,841,796.50"
28.0 - 30.0,1453724,"1,453,724.37"
30.0 - 32.0,1027319,"1,027,319.47"
32.0 - 34.0,833672,"833,672.09"
34.0 - 36.0,690806,"690,806.43"
36.0 - 38.0,383837,"383,836.97"
38.0 - 40.0,97133,"97,133.49"
40.0 - 42.0,58575,"58,574.69"
42.0 - 44.0,30988,"30,987.77"
44.0 - 46.0,3782,"3,782"
