Band Value,bedrock Count,ice_surface Count
-41,5836,"5,835.66"
-39,425892,"425,892.19"
-37,760775,"760,774.51"
-35,1183857,"1,183,857.08"
-33,1327473,"1,327,473.45"
-31,1385367,"1,385,366.75"
-29,1394138,"1,394,138.49"
-27,1397065,"1,397,065.08"
-25,1448573,"1,448,572.63"
-23,1417414,"1,417,414.33"
-21,1489121,"1,489,120.80"
-19,1671974,"1,671,974.23"
-17,1974502,"1,974,502.28"
-15,2389130,"2,389,129.55"
-13,2671225,"2,671,225.09"
-11,2870741,"2,870,741.09"
-9,3395499,"3,395,499.34"
-7,4314547,"4,314,547.12"
-5,7768982,"7,768,982.35"
-3,6983636,"6,983,635.73"
-1,3035008,"3,035,007.99"
0.0 - 2.0,14564243,"14,564,242.80"
2.0 - 4.0,19655111,"19,655,110.64"
4.0 - 6.0,7311904,"7,311,904.24"
6.0 - 8.0,4005228,"4,005,228.14"
8.0 - 10.0,3354338,"3,354,337.83"
10.0 - 12.0,2716295,"2,716,294.52"
12.0 - 14.0,1686033,"1,686,032.56"
14.0 - 16.0,782067,"782,067.21"
16.0 - 18.0,329739,"329,738.77"
18.0 - 20.0,270234,"270,234.26"
20.0 - 22.0,173179,"173,178.67"
22.0 - 24.0,102762,"102,761.54"
24.0 - 26.0,69864,"69,863.99"
26.0 - 28.0,59737,"59,736.71"
28.0 - 30.0,40234,"40,233.98"
30.0 - 32.0,20430,"20,430.19"
32.0 - 34.0,16047,"16,047.19"
34.0 - 36.0,18032,"18,032.21"
36.0 - 38.0,11236,"11,235.51"
38.0 - 40.0,3844,"3,844"
40.0 - 42.0,19158,"19,158"
42.0 - 44.0,6818,"6,817.99"
44.0 - 46.0,3721,"3,721"
46.0 - 48.0,4708,"4,708.42"
48.0 - 50.0,5368,"5,367.99"
50.0 - 52.0,4052,"4,052.16"
52.0 - 54.0,3844,"3,844"
54.0 - 56.0,,
56.0 - 58.0,3844,"3,844"
58.0 - 60.0,11470,"11,470"
60.0 - 62.0,15376,"15,376"
62.0 - 64.0,3782,"3,782"
64.0 - 66.0,7688,"7,688"
66.0 - 68.0,,
68.0 - 70.0,3844,"3,844"
70.0 - 72.0,,
72.0 - 74.0,,
74.0 - 76.0,3782,"3,782"
76.0 - 78.0,3782,"3,782"
78.0 - 80.0,,
80.0 - 82.0,,
82.0 - 84.0,,
84.0 - 86.0,,
86.0 - 88.0,,
88.0 - 90.0,,
90.0 - 92.0,,
92.0 - 94.0,7626,"7,626"
94.0 - 96.0,,
96.0 - 98.0,,
98.0 - 100.0,,
100.0 - 102.0,,
102.0 - 104.0,,
104.0 - 106.0,,
106.0 - 108.0,,
108.0 - 110.0,,
110.0 - 112.0,3844,"3,844"
112.0 - 114.0,,
114.0 - 116.0,,
116.0 - 118.0,,
118.0 - 120.0,,
120.0 - 122.0,,
122.0 - 124.0,,
124.0 - 126.0,7688,"7,688"
126.0 - 128.0,,
128.0 - 130.0,3555,"3,555.48"
130.0 - 132.0,,
132.0 - 134.0,,
134.0 - 136.0,,
136.0 - 138.0,,
138.0 - 140.0,,
140.0 - 142.0,,
142.0 - 144.0,,
144.0 - 146.0,,
146.0 - 148.0,,
148.0 - 150.0,,
150.0 - 152.0,,
152.0 - 154.0,,
154.0 - 156.0,,
156.0 - 158.0,,
158.0 - 160.0,,
160.0 - 162.0,,
162.0 - 164.0,,
164.0 - 166.0,,
166.0 - 168.0,,
168.0 - 170.0,,
170.0 - 172.0,3844,"3,844"
172.0 - 174.0,,
174.0 - 176.0,,
176.0 - 178.0,,
178.0 - 180.0,,
180.0 - 182.0,,
182.0 - 184.0,,
184.0 - 186.0,,
186.0 - 188.0,,
188.0 - 190.0,3844,"3,844"
190.0 - 192.0,,
192.0 - 194.0,,
194.0 - 196.0,,
196.0 - 198.0,3844,"3,844"
198.0 - 200.0,,
200.0 - 202.0,,
202.0 - 204.0,,
204.0 - 206.0,,
206.0 - 208.0,,
208.0 - 210.0,,
210.0 - 212.0,,
212.0 - 214.0,,
214.0 - 216.0,,
216.0 - 218.0,,
218.0 - 220.0,,
220.0 - 222.0,,
222.0 - 224.0,,
224.0 - 226.0,,
226.0 - 228.0,,
228.0 - 230.0,,
230.0 - 232.0,,
232.0 - 234.0,,
234.0 - 236.0,,
236.0 - 238.0,,
238.0 - 240.0,,
240.0 - 242.0,,
242.0 - 244.0,,
244.0 - 246.0,,
246.0 - 248.0,,
248.0 - 250.0,,
250.0 - 252.0,,
252.0 - 254.0,,
254.0 - 256.0,,
256.0 - 258.0,,
258.0 - 260.0,,
260.0 - 262.0,,
262.0 - 264.0,,
264.0 - 266.0,,
266.0 - 268.0,,
268.0 - 270.0,,
270.0 - 272.0,,
272.0 - 274.0,3844,"3,844"
274.0 - 276.0,,
276.0 - 278.0,,
278.0 - 280.0,,
280.0 - 282.0,,
282.0 - 284.0,,
284.0 - 286.0,,
286.0 - 288.0,,
288.0 - 290.0,,
290.0 - 292.0,,
292.0 - 294.0,,
294.0 - 296.0,,
296.0 - 298.0,,
298.0 - 300.0,,
300.0 - 302.0,,
302.0 - 304.0,,
304.0 - 306.0,,
306.0 - 308.0,,
308.0 - 310.0,,
310.0 - 312.0,,
312.0 - 314.0,,
314.0 - 316.0,,
316.0 - 318.0,,
318.0 - 320.0,,
320.0 - 322.0,,
322.0 - 324.0,,
324.0 - 326.0,,
326.0 - 328.0,,
328.0 - 330.0,,
330.0 - 332.0,,
332.0 - 334.0,,
334.0 - 336.0,3782,"3,782"
