Band Value,bedrock Count,ice_surface Count
-2,6830,"6,829.77"
-2,90740,"90,739.98"
-2,347072,"347,072.36"
-2,595891,"595,891.28"
-2,742366,"742,366.48"
-2,640236,"640,236.08"
-2,548362,"548,362.32"
-2,485470,"485,470.26"
-2,495041,"495,040.81"
-2,511771,"511,770.68"
-2,505499,"505,498.69"
-2,421605,"421,604.70"
-2,342974,"342,974.41"
-2,411584,"411,583.91"
-2,336903,"336,903.49"
-2,408974,"408,974.41"
-2,428399,"428,398.91"
-15,341134,"341,134.29"
-13,245343,"245,342.97"
-11,156738,"156,738"
-9,204899,"204,898.52"
-7,164244,"164,244.29"
-5,157170,"157,170"
-3,203632,"203,632.30"
-1,490253,"490,252.78"
0.0 - 2.0,3163950,"3,163,949.84"
2.0 - 4.0,1204816,"1,204,816.36"
4.0 - 6.0,1546815,"1,546,815.33"
6.0 - 8.0,1313541,"1,313,541.07"
8.0 - 10.0,1195974,"1,195,974.13"
10.0 - 12.0,1259864,"1,259,863.82"
12.0 - 14.0,1070246,"1,070,246.43"
14.0 - 16.0,844256,"844,255.83"
16.0 - 18.0,795643,"795,643.17"
18.0 - 20.0,658008,"658,007.88"
20.0 - 22.0,627406,"627,406.42"
22.0 - 24.0,463521,"463,521.48"
24.0 - 26.0,437744,"437,743.84"
26.0 - 28.0,512629,"512,629.29"
28.0 - 30.0,379219,"379,218.60"
30.0 - 32.0,325454,"325,453.73"
32.0 - 34.0,300732,"300,732.38"
34.0 - 36.0,248059,"248,058.56"
36.0 - 38.0,192217,"192,216.68"
38.0 - 40.0,170451,"170,451.06"
40.0 - 42.0,174998,"174,998.04"
42.0 - 44.0,117181,"117,180.53"
44.0 - 46.0,93538,"93,538.40"
46.0 - 48.0,57769,"57,769.13"
48.0 - 50.0,46622,"46,621.96"
50.0 - 52.0,35664,"35,664.09"
52.0 - 54.0,22254,"22,254.12"
54.0 - 56.0,7725,"7,724.66"
56.0 - 58.0,25420,"25,420.41"
58.0 - 60.0,6878,"6,878.12"
60.0 - 62.0,14380,"14,379.94"
62.0 - 64.0,32,32.004
64.0 - 66.0,139,139.231
66.0 - 68.0,1819,"1,819.34"
68.0 - 70.0,1803,"1,802.64"
